,Sheep,Wolves,Sexp1,Wexp1,Sexp2,Wexp2,Sexp3,Wexp3,Sexp4,Wexp4,Sexp5,Wexp5,Sexp6,Wexp6,Sexp7,Wexp7,Sexp8,Wexp8,Sexp9,Wexp9,Sexp10,Wexp10
1,15.05,12.29,54,144,52,126,52,118,56,138,54,128,56,146,52,118,54,130,56,146,52,112
2,3.01,7.21,NA,374,NA,208,NA,228,362,418,NA,210,340,434,NA,200,NA,378,350,446,NA,196
3,12.7,15.16,50,100,56,100,52,84,54,94,54,96,52,96,56,88,54,92,56,100,54,104
4,9.47,14.64,NA,16,NA,134,72,90,NA,96,62,96,NA,96,64,96,NA,98,204,300,66,108
5,7.54,17.2,160,196,NA,100,178,220,NA,108,NA,106,164,220,NA,100,NA,110,168,214,158,180
6,4.51,1.78,216,622,212,572,234,716,228,804,234,730,228,726,238,802,214,644,220,588,216,580
7,3.91,18.49,NA,244,NA,286,NA,274,NA,256,NA,232,NA,266,NA,266,NA,254,NA,244,NA,288
8,2.28,10.53,NA,184,NA,340,NA,376,NA,388,NA,248,NA,400,NA,220,NA,374,NA,232,NA,216
9,13.51,13.16,58,128,52,114,52,108,50,108,54,124,52,106,54,116,52,120,56,120,58,112
10,5.67,9.59,NA,126,256,358,NA,132,98,136,NA,154,NA,132,84,144,NA,140,NA,144,246,348
11,16.02,15.44,50,114,50,112,44,90,44,88,46,102,50,102,46,98,46,98,48,110,46,102
12,1.34,3.02,NA,374,348,474,NA,486,NA,392,NA,432,NA,408,NA,444,NA,406,NA,500,NA,458
13,11.63,16.59,52,84,52,96,NA,84,52,88,54,92,60,90,68,88,54,86,60,82,54,102
14,6.52,5.58,100,184,108,194,106,216,102,228,NA,184,110,226,106,226,114,216,130,268,104,212
15,5.1,13.62,NA,276,238,328,232,288,NA,330,334,380,216,256,208,234,228,266,NA,138,246,322
16,19.15,11.57,72,194,64,176,54,154,68,174,92,232,54,150,66,176,86,210,56,156,64,174
17,8.38,19.54,NA,108,164,214,NA,170,144,166,NA,86,NA,92,NA,90,NA,92,NA,84,NA,90
18,10.69,11.25,72,116,62,118,62,112,62,144,64,112,62,126,64,114,64,118,62,128,64,118
19,9.08,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.54,17.35,NA,60,NA,48,NA,48,NA,44,NA,44,NA,58,NA,60,NA,68,NA,94,NA,60
21,19.39,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,17.72,19.25,42,78,40,82,40,78,42,78,40,88,40,74,42,86,40,90,42,80,40,82
23,1.06,7.62,NA,348,NA,362,NA,374,NA,334,NA,362,NA,382,NA,100,NA,350,NA,388,NA,630
24,16.95,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,18.05,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,7.82,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,12.67,6.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,10.63,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,12.01,8.38,68,176,70,180,70,176,76,200,70,190,72,178,72,170,66,156,72,172,68,170
30,14.31,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA